price,year,make,model,bodytype,transmission,odometer,drivetrain,age,annual_km
48500,2020,Ford,Mustang,Coupe,Automatic,6150,rwd,3,2050
45000,2019,Volkswagen,Atlas,SUV,Automatic,113209,awd,4,28302
15000,2009,Toyota,Sienna,Minivan,Automatic,127262,fwd,14,9090
35888,2019,Dodge,Charger,Sedan,Automatic,75835,awd,4,18958
37500,2018,Volkswagen,Atlas,SUV,Automatic,86141,awd,5,17228
24000,2015,Volkswagen,Beetle,Hatchback,Automatic,130446,fwd,8,16305
51000,2020,Infiniti,Qx50,SUV,Automatic,12132,awd,3,4044
57000,2021,Volkswagen,Atlas,SUV,Automatic,6731,awd,2,3365
36888,2018,Mercedes-benz,Gla,SUV,Automatic,23397,awd,5,4679
58900,2019,Land,Rover,SUV,Automatic,48191,4x4,4,12047
44800,2018,Ram,1500,Truck,Automatic,87452,4x4,5,17490
44500,2017,Toyota,Tacoma,Truck,Automatic,45246,4x4,6,7541
77900,2018,Ford,Super,Truck,Automatic,89952,4x4,5,17990
26999,2017,Honda,Accord,Sedan,Automatic,91502,fwd,6,15250
45990,2020,Ford,Explorer,SUV,Automatic,33041,4x4,3,11013
26799,2017,Ford,Escape,SUV,Automatic,85251,4x4,6,14208
24500,2017,Ford,Escape,SUV,Automatic,96501,4x4,6,16083
36850,2019,Ford,Edge,SUV,Automatic,53154,awd,4,13288
31990,2018,Jeep,Compass,SUV,Automatic,72606,4x4,5,14521
19690,2017,Chevrolet,Cruze,Hatchback,Manual,117806,fwd,6,19634
25995,2016,Jeep,Cherokee,SUV,Automatic,52342,4x4,7,7477
26888,2017,Volkswagen,Beetle,Hatchback,Automatic,39675,fwd,6,6612
29990,2021,Toyota,C-hr,Minivan,Automatic,27771,fwd,2,13885
5995,2006,Ford,Fusion,Sedan,Automatic,193353,fwd,17,11373
17999,2017,Mitsubishi,Outlander,SUV,Automatic,61638,4x4,6,10273
15999,2018,Nissan,Sentra,Sedan,Automatic,6330,fwd,5,1266
37999,2020,Chevrolet,Traverse,SUV,Automatic,82850,awd,3,27616
41999,2019,Chevrolet,Traverse,SUV,Automatic,102350,awd,4,25587
40999,2018,Honda,Ridgeline,Truck,Automatic,37800,awd,5,7560
46998,2016,Ford,F-150,Truck,Automatic,88461,4x4,7,12637
39414,2016,Toyota,4runner,SUV,Automatic,136206,4x4,7,19458
37898,2018,Nissan,Pathfinder,SUV,Automatic,83028,4x4,5,16605
39839,2016,Ram,1500,Truck,Automatic,128401,4x4,7,18343
44900,2015,Ford,Super,Truck,Automatic,371379,4x4,8,46422
40999,2018,Honda,Ridgeline,Truck,Automatic,37800,awd,5,7560
35999,2018,Jeep,Grand,SUV,Automatic,104000,awd,5,20800
46500,2018,Volvo,Xc90,SUV,Automatic,78500,awd,5,15700
33999,2018,Jeep,Grand,SUV,Automatic,57100,awd,5,11420
49999,2019,Ford,F-150,Truck,Automatic,63000,awd,4,15750
24999,2017,Jeep,Compass,SUV,Automatic,97000,4x4,6,16166
18999,2012,Jeep,Grand,SUV,Automatic,166400,awd,11,15127
36999,2017,Ford,F-150,Truck,Automatic,125000,4x4,6,20833
18999,2015,Volkswagen,Golf,Hatchback,Automatic,59850,fwd,8,7481
18999,2019,Toyota,Corolla,Sedan,Automatic,33500,fwd,4,8375
38900,2017,Toyota,Highlander,SUV,Automatic,72000,awd,6,12000
28877,2015,Ram,1500,Truck,Automatic,170056,4x4,8,21257
29997,2014,Jeep,Wrangler,SUV,Manual,154391,4x4,9,17154
59982,2019,Chevrolet,Tahoe,SUV,Automatic,69888,4x4,4,17472
27987,2019,Jeep,Cherokee,SUV,Automatic,152124,4x4,4,38031
24956,2018,Ford,Fusion,Sedan,Automatic,133686,fwd,5,26737
54879,2021,Ram,1500,Truck,Automatic,115,4x4,2,57
39888,2018,Toyota,Rav4,SUV,Automatic,71328,awd,5,14265
55886,2019,Jeep,Wrangler,SUV,Automatic,8656,4x4,4,2164
82773,2019,Ram,2500,Truck,Automatic,28479,4x4,4,7119
42637,2018,Jeep,Wrangler,SUV,Automatic,79947,4x4,5,15989
36528,2015,Jeep,Wrangler,SUV,Automatic,161773,4x4,8,20221
50775,2019,Ram,1500,Truck,Automatic,86276,4x4,4,21569
34674,2019,Jeep,Compass,SUV,Automatic,38101,4x4,4,9525
59696,2020,Ford,Expedition,SUV,Automatic,91465,4x4,3,30488
49878,2015,Ford,Super,Truck,Automatic,100182,4x4,8,12522
25979,2014,Ram,1500,Truck,Automatic,135010,4x4,9,15001
